epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6292,2.75545,5.73412,2.04953,0,0,0,0,2.52855,5.26858,1.23309,0,0,0
2,25.5678,2.19891,5.6472,1.65691,0,0,0,0,2.47749,5.26646,1.21116,2.80337e-06,2.80337e-06,2.80337e-06
3,42.5901,2.51823,5.5463,1.79971,0,0,0,0,2.41943,5.26431,1.1916,5.49349e-06,5.49349e-06,5.49349e-06
4,48.0495,2.35195,5.72082,1.8095,0,0,0,0,2.41299,5.25296,1.18719,8.07035e-06,8.07035e-06,8.07035e-06
5,57.5774,2.264,5.80129,1.73601,0,0,0,0,2.47566,5.23893,1.19448,1.0534e-05,1.0534e-05,1.0534e-05
6,65.2249,2.29856,5.58232,1.69708,0,0,0,0,2.49281,5.23779,1.19077,1.28843e-05,1.28843e-05,1.28843e-05
7,70.9923,2.37848,5.58387,1.6535,0,0,0,0,2.50231,5.22339,1.18046,1.51214e-05,1.51214e-05,1.51214e-05
8,78.2131,2.26481,5.52414,1.73848,0,0,0,0,2.44913,5.22579,1.16211,1.72452e-05,1.72452e-05,1.72452e-05
9,87.6246,2.17594,5.39723,1.6904,0,0,0,0,2.44135,5.21569,1.15611,1.92558e-05,1.92558e-05,1.92558e-05
10,94.3049,2.21813,5.42124,1.66178,0,0,0,0,2.44396,5.19868,1.15668,2.11531e-05,2.11531e-05,2.11531e-05
11,100.373,2.38929,5.65192,1.71162,0,0,0,0,2.43777,5.18711,1.1527,2.29372e-05,2.29372e-05,2.29372e-05
12,112.552,1.86508,5.25315,1.49837,0,0,0,0,2.41885,5.17814,1.14802,2.4608e-05,2.4608e-05,2.4608e-05
13,121.404,2.10723,5.329,1.53715,0,0,0,0,2.3917,5.17102,1.14258,2.61656e-05,2.61656e-05,2.61656e-05
14,130.197,1.93581,5.23265,1.41661,0,0,0,0,2.35254,5.16343,1.13187,2.76099e-05,2.76099e-05,2.76099e-05
15,135.7,2.17028,5.38167,1.74398,0,0,0,0,2.32116,5.15817,1.12194,2.89409e-05,2.89409e-05,2.89409e-05
16,141.717,2.12577,5.40233,1.50937,0,0,0,0,2.289,5.15229,1.11206,3.01587e-05,3.01587e-05,3.01587e-05
17,146.455,1.83723,5.10275,1.33861,0,0,0,0,2.2447,5.14307,1.10077,3.12632e-05,3.12632e-05,3.12632e-05
18,151.006,1.86536,5.37252,1.39818,0,0,0,0,2.2447,5.14307,1.10077,3.22545e-05,3.22545e-05,3.22545e-05
19,156.121,1.92659,5.17549,1.48458,0,0,0,0,2.18495,5.13354,1.0856,3.31325e-05,3.31325e-05,3.31325e-05
20,162.777,2.06827,5.3961,1.50502,0,0,0,0,2.18495,5.13354,1.0856,3.38973e-05,3.38973e-05,3.38973e-05
21,174.424,2.11601,5.30859,1.52145,0,0,0,0,2.13148,5.11623,1.06666,3.45488e-05,3.45488e-05,3.45488e-05
22,180.789,2.00709,5.12555,1.44881,0,0,0,0,2.13148,5.11623,1.06666,3.50871e-05,3.50871e-05,3.50871e-05
23,186.968,1.861,5.16583,1.39985,0,0,0,0,2.07318,5.09695,1.04794,3.5512e-05,3.5512e-05,3.5512e-05
24,192.047,1.77078,4.96743,1.42533,0,0,0,0,2.07318,5.09695,1.04794,3.58238e-05,3.58238e-05,3.58238e-05
25,198.46,1.76947,5.11498,1.36719,0,0,0,0,2.00081,5.07823,1.03498,3.60223e-05,3.60223e-05,3.60223e-05
26,205.152,2.00273,5.00546,1.56471,0,0,0,0,2.00081,5.07823,1.03498,3.61075e-05,3.61075e-05,3.61075e-05
27,213.776,1.87218,5.1242,1.38582,0,0,0,0,1.91993,5.06675,1.01914,3.60795e-05,3.60795e-05,3.60795e-05
28,219.097,1.9438,5.15525,1.36413,0,0,0,0,1.91993,5.06675,1.01914,3.59382e-05,3.59382e-05,3.59382e-05
29,229.356,1.76641,4.93876,1.2774,0,0,0,0,1.84545,5.06465,1.00678,3.56836e-05,3.56836e-05,3.56836e-05
30,237.379,2.03795,5.13204,1.53318,0,0,0,0,1.84545,5.06465,1.00678,3.53159e-05,3.53159e-05,3.53159e-05
31,244.517,1.98576,4.88579,1.53786,0,0,0,0,1.78055,5.05894,0.99584,3.48348e-05,3.48348e-05,3.48348e-05
32,251.336,1.84888,4.89183,1.24971,0,0,0,0,1.78055,5.05894,0.99584,3.42405e-05,3.42405e-05,3.42405e-05
33,259.526,1.97996,5.0051,1.37244,0,0,0,0,1.73329,5.05026,0.98982,3.35329e-05,3.35329e-05,3.35329e-05
34,266.281,2.06123,4.97446,1.49282,0,0,0,0,1.73329,5.05026,0.98982,3.27121e-05,3.27121e-05,3.27121e-05
35,271.897,1.77372,4.76822,1.2926,0,0,0,0,1.68972,5.03874,0.98545,3.1778e-05,3.1778e-05,3.1778e-05
36,277.272,1.87133,5.02957,1.27876,0,0,0,0,1.68972,5.03874,0.98545,3.07307e-05,3.07307e-05,3.07307e-05
37,284.505,1.81462,4.89146,1.29684,0,0,0,0,1.65496,5.0258,0.98142,2.95701e-05,2.95701e-05,2.95701e-05
38,294.098,1.63274,4.72873,1.27998,0,0,0,0,1.65496,5.0258,0.98142,2.82963e-05,2.82963e-05,2.82963e-05
39,302.582,1.82967,4.78675,1.32519,0,0,0,0,1.61837,5.00571,0.972,2.69092e-05,2.69092e-05,2.69092e-05
40,310.891,1.76528,4.63375,1.21008,0,0,0,0,1.61837,5.00571,0.972,2.54088e-05,2.54088e-05,2.54088e-05
41,318.878,1.88345,5.32256,1.33525,0,0,0,0,1.59879,4.98993,0.96781,2.37952e-05,2.37952e-05,2.37952e-05
42,324.989,1.79001,4.94462,1.31277,0,0,0,0,1.59879,4.98993,0.96781,2.20683e-05,2.20683e-05,2.20683e-05
43,337.533,1.76042,5.14489,1.33479,0,0,0,0,1.58616,4.9741,0.96401,2.02282e-05,2.02282e-05,2.02282e-05
44,347.202,1.74339,4.87136,1.27759,0,0,0,0,1.58616,4.9741,0.96401,1.82748e-05,1.82748e-05,1.82748e-05
45,356.303,1.71475,4.96199,1.20974,0,0,0,0,1.57586,4.95641,0.96144,1.62082e-05,1.62082e-05,1.62082e-05
46,362.808,1.83605,5.24816,1.32817,0,0,0,0,1.57586,4.95641,0.96144,1.40283e-05,1.40283e-05,1.40283e-05
47,369.609,1.84567,5.00024,1.27932,0,0,0,0,1.58687,4.93957,0.95875,1.17352e-05,1.17352e-05,1.17352e-05
48,377.621,2.05349,5.30979,1.38276,0,0,0,0,1.58687,4.93957,0.95875,9.32875e-06,9.32875e-06,9.32875e-06
49,385.611,1.8079,4.92357,1.3936,0,0,0,0,1.58775,4.9277,0.95724,6.80909e-06,6.80909e-06,6.80909e-06
50,391.798,1.75647,5.02305,1.28372,0,0,0,0,1.58775,4.9277,0.95724,4.17617e-06,4.17617e-06,4.17617e-06
