epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5909,2.51699,5.33192,2.37551,0,0,0,0,2.52031,4.51294,2.55597,5.328e-05,5.328e-05,5.328e-05
2,34.3316,2.3816,5.06707,2.34755,0,0,0,0,2.32656,4.52102,2.37522,0.000106626,0.000106626,0.000106626
3,50.8933,2.26962,4.27723,2.28091,0.09959,0.40164,0.16806,0.05336,2.3224,3.8437,2.31615,0.000157775,0.000157775,0.000157775
4,67.0681,2.38147,3.59239,2.37599,0.288,0.19672,0.17216,0.0553,2.35167,3.10489,2.46785,0.000206725,0.000206725,0.000206725
5,84.0791,2.31025,3.3556,2.36537,0.21196,0.31308,0.17859,0.05725,2.29151,2.80121,2.51268,0.000204418,0.000204418,0.000204418
6,100.177,2.23259,3.25829,2.26259,0.26259,0.32984,0.21641,0.07012,2.22666,2.55808,2.45571,0.000200022,0.000200022,0.000200022
7,116.432,2.22901,3.13538,2.29116,0.36525,0.27049,0.2389,0.07117,2.27871,2.63558,2.48269,0.000195626,0.000195626,0.000195626
8,132.726,2.12012,3.04779,2.24164,0.33528,0.33904,0.23736,0.07528,2.2655,2.46863,2.48589,0.000191231,0.000191231,0.000191231
9,149.103,2.16094,2.98662,2.24897,0.27938,0.32787,0.23241,0.06657,2.23449,2.402,2.39117,0.000186835,0.000186835,0.000186835
10,165.126,2.08884,2.89696,2.17948,0.50497,0.28689,0.26679,0.07596,2.27571,2.38301,2.47526,0.00018244,0.00018244,0.00018244
11,181.311,2.05429,2.92117,2.20687,0.43909,0.32787,0.2821,0.09029,2.23983,2.26542,2.46434,0.000178044,0.000178044,0.000178044
12,197.496,2.10081,2.83024,2.20408,0.48378,0.2541,0.2961,0.0958,2.23589,2.34959,2.42704,0.000173648,0.000173648,0.000173648
13,213.631,2.06333,2.85301,2.16212,0.49156,0.33607,0.31845,0.10051,2.19395,2.29538,2.35798,0.000169253,0.000169253,0.000169253
14,229.627,2.08025,2.79912,2.20374,0.29792,0.32348,0.27091,0.09667,2.2343,2.30865,2.43419,0.000164857,0.000164857,0.000164857
15,246.099,2.06067,2.77216,2.11554,0.33857,0.33607,0.26302,0.08908,2.19666,2.35633,2.4128,0.000160462,0.000160462,0.000160462
16,263.251,2.07178,2.70979,2.12418,0.29656,0.39344,0.27607,0.089,2.19863,2.33805,2.39743,0.000156066,0.000156066,0.000156066
17,279.539,2.06625,2.6469,2.08774,0.41799,0.35246,0.32384,0.11002,2.13487,2.26663,2.30007,0.00015167,0.00015167,0.00015167
18,295.967,2.06321,2.74158,2.13334,0.55672,0.35003,0.35089,0.12039,2.17287,2.23592,2.40048,0.000147275,0.000147275,0.000147275
19,312.38,1.98226,2.61625,2.09339,0.51867,0.31148,0.33494,0.10268,2.18409,2.23888,2.40542,0.000142879,0.000142879,0.000142879
20,329.016,2.01998,2.61976,2.10101,0.43878,0.28689,0.33494,0.10579,2.15191,2.2185,2.30152,0.000138484,0.000138484,0.000138484
21,345.21,2.02114,2.60617,2.05657,0.61156,0.34846,0.38233,0.12259,2.11321,2.23318,2.33205,0.000134088,0.000134088,0.000134088
22,361.785,2.0008,2.58948,2.06549,0.5495,0.39344,0.35794,0.11483,2.14432,2.2004,2.34746,0.000129692,0.000129692,0.000129692
23,378.462,1.9651,2.55991,2.0529,0.5039,0.37705,0.35174,0.1049,2.16077,2.20063,2.36035,0.000125297,0.000125297,0.000125297
24,395.461,1.95361,2.54715,2.06247,0.54474,0.36291,0.3559,0.13358,2.10604,2.1377,2.29395,0.000120901,0.000120901,0.000120901
