epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,463.242,1.88986,2.31328,1.88512,0.3333,0.40912,0.38151,0.16114,2.18512,2.18557,2.29985,0.000161927,0.000161927,0.000161927
43,473.818,1.83387,2.32104,1.92476,0.39749,0.38727,0.43085,0.17028,2.18273,2.20672,2.3379,0.000160462,0.000160462,0.000160462
44,484.421,1.85518,2.30135,1.91945,0.52137,0.38187,0.37051,0.14329,2.19393,2.1265,2.27411,0.000158996,0.000158996,0.000158996
45,495.109,1.89169,2.37301,1.94719,0.26916,0.35394,0.34958,0.13363,2.18653,2.16207,2.27843,0.000157531,0.000157531,0.000157531
46,505.453,1.80115,2.18471,1.85466,0.35637,0.34485,0.33784,0.15569,2.24791,2.16865,2.33781,0.000156066,0.000156066,0.000156066
47,516.261,1.87429,2.22081,1.90168,0.27006,0.36842,0.34419,0.16676,2.21227,2.15794,2.2672,0.000154601,0.000154601,0.000154601
48,526.868,1.88202,2.24721,1.91083,0.50705,0.41479,0.39416,0.1748,2.20801,2.15687,2.30692,0.000153136,0.000153136,0.000153136
49,537.46,1.83629,2.23404,1.88877,0.33628,0.52401,0.39774,0.17412,2.17045,2.19404,2.28692,0.00015167,0.00015167,0.00015167
50,548.268,1.79713,2.23058,1.87315,0.562,0.41515,0.42806,0.19239,2.13912,2.17149,2.26041,0.000150205,0.000150205,0.000150205
51,559.121,1.8268,2.17662,1.89022,0.55297,0.40185,0.3968,0.17908,2.18018,2.12219,2.26839,0.00014874,0.00014874,0.00014874
52,569.822,1.80202,2.16183,1.86201,0.58633,0.3032,0.40111,0.16104,2.16111,2.13653,2.2534,0.000147275,0.000147275,0.000147275
53,580.456,1.85435,2.2105,1.86002,0.3636,0.33212,0.37202,0.17575,2.13898,2.1655,2.20214,0.00014581,0.00014581,0.00014581
54,591.105,1.82654,2.20267,1.8687,0.64838,0.37642,0.45457,0.16623,2.22075,2.12842,2.33661,0.000144344,0.000144344,0.000144344
55,601.788,1.81436,2.16242,1.88138,0.56523,0.38606,0.38874,0.17776,2.24397,2.10475,2.30648,0.000142879,0.000142879,0.000142879
56,612.486,1.82359,2.17361,1.87413,0.54175,0.30038,0.34778,0.1282,2.27218,2.12493,2.34852,0.000141414,0.000141414,0.000141414
57,623.399,1.79381,2.10566,1.86381,0.51276,0.34633,0.3793,0.14042,2.28372,2.16356,2.3246,0.000139949,0.000139949,0.000139949
58,634.068,1.76827,2.12235,1.81863,0.61012,0.33212,0.38837,0.1652,2.27599,2.14485,2.34063,0.000138484,0.000138484,0.000138484
59,644.924,1.81041,2.15327,1.84759,0.63998,0.27818,0.39994,0.18189,2.24917,2.11685,2.34185,0.000137018,0.000137018,0.000137018
60,655.678,1.79821,2.09863,1.84665,0.37996,0.33654,0.3695,0.13471,2.25686,2.22299,2.34697,0.000135553,0.000135553,0.000135553
61,666.232,1.77107,2.11343,1.85548,0.63607,0.29392,0.39628,0.12347,2.26022,2.19841,2.32753,0.000134088,0.000134088,0.000134088
62,676.768,1.76775,2.08103,1.82116,0.61036,0.31469,0.40079,0.16533,2.1941,2.14171,2.25667,0.000132623,0.000132623,0.000132623
63,687.316,1.74381,2.04159,1.82977,0.45018,0.47758,0.46119,0.1906,2.17952,2.19383,2.28046,0.000131158,0.000131158,0.000131158
64,698.041,1.7602,2.08799,1.82909,0.62923,0.38463,0.53665,0.21094,2.22748,2.20841,2.33708,0.000129692,0.000129692,0.000129692
65,708.568,1.78198,2.0566,1.84178,0.44812,0.46121,0.54426,0.21284,2.27329,2.11263,2.34278,0.000128227,0.000128227,0.000128227
66,719.559,1.82389,2.06182,1.84094,0.63404,0.39512,0.4871,0.193,2.23348,2.06236,2.30523,0.000126762,0.000126762,0.000126762
67,730.482,1.7996,2.05065,1.85828,0.38328,0.62242,0.45156,0.16546,2.23695,2.15073,2.36356,0.000125297,0.000125297,0.000125297
68,741.148,1.75887,2.02939,1.82508,0.65452,0.34043,0.46321,0.19497,2.23818,2.06196,2.30416,0.000123832,0.000123832,0.000123832
69,751.724,1.80038,2.01273,1.80335,0.34519,0.38634,0.44876,0.18448,2.26796,2.06725,2.337,0.000122366,0.000122366,0.000122366
70,762.275,1.76068,2.02123,1.8254,0.63228,0.30356,0.41274,0.18787,2.31616,2.1031,2.3841,0.000120901,0.000120901,0.000120901
71,773.111,1.76539,1.99762,1.81192,0.70783,0.2578,0.40092,0.18119,2.26332,2.11701,2.30979,0.000119436,0.000119436,0.000119436
72,784.011,1.78227,1.99562,1.81072,0.5386,0.40163,0.42129,0.18426,2.23365,2.11287,2.30054,0.000117971,0.000117971,0.000117971
73,794.794,1.76488,1.97601,1.82519,0.44761,0.39838,0.36946,0.15678,2.28913,2.0963,2.3148,0.000116506,0.000116506,0.000116506
74,805.56,1.76941,1.98735,1.79741,0.44329,0.3297,0.34674,0.13996,2.31193,2.0326,2.32254,0.00011504,0.00011504,0.00011504
75,816.292,1.73294,1.9602,1.79111,0.55363,0.37892,0.41204,0.14936,2.28827,2.04891,2.32935,0.000113575,0.000113575,0.000113575
76,826.808,1.76281,1.98544,1.7747,0.29673,0.50118,0.43576,0.15657,2.27245,2.07405,2.35203,0.00011211,0.00011211,0.00011211
77,837.615,1.74138,1.92748,1.78105,0.31565,0.50994,0.42862,0.17294,2.27349,2.05223,2.33626,0.000110645,0.000110645,0.000110645
78,848.229,1.70811,1.90124,1.77264,0.32386,0.38817,0.45912,0.18305,2.26794,2.05156,2.35839,0.00010918,0.00010918,0.00010918
79,858.815,1.73493,1.89812,1.77535,0.55144,0.36687,0.41014,0.17705,2.26795,2.07882,2.35698,0.000107714,0.000107714,0.000107714
80,869.337,1.70969,1.86586,1.73125,0.60049,0.35372,0.43621,0.17995,2.27406,2.07681,2.35942,0.000106249,0.000106249,0.000106249
81,879.984,1.78186,1.94184,1.7857,0.55866,0.38613,0.40996,0.17266,2.27532,2.05715,2.33209,0.000104784,0.000104784,0.000104784
82,890.653,1.70885,1.88963,1.76263,0.58232,0.30242,0.43062,0.17623,2.244,2.03733,2.30111,0.000103319,0.000103319,0.000103319
83,900.894,1.73038,1.94173,1.78316,0.31737,0.38823,0.41219,0.16241,2.22795,2.0694,2.29957,0.000101854,0.000101854,0.000101854
84,911.712,1.7088,1.91925,1.78019,0.29545,0.60454,0.45943,0.17533,2.25687,2.04428,2.33667,0.000100388,0.000100388,0.000100388
85,922.37,1.73234,1.90876,1.75531,0.33316,0.3222,0.39224,0.18206,2.30832,2.02571,2.36576,9.89232e-05,9.89232e-05,9.89232e-05
86,933.053,1.66235,1.84081,1.73687,0.34105,0.34776,0.38382,0.16616,2.32616,2.0452,2.38087,9.7458e-05,9.7458e-05,9.7458e-05
87,943.641,1.72574,1.88348,1.7661,0.28416,0.51314,0.42004,0.16825,2.27975,2.01411,2.35179,9.59928e-05,9.59928e-05,9.59928e-05
88,954.337,1.72627,1.90012,1.776,0.30091,0.47212,0.46674,0.15396,2.27775,1.99915,2.34034,9.45276e-05,9.45276e-05,9.45276e-05
89,965.089,1.71642,1.85446,1.76062,0.35143,0.46667,0.44146,0.16096,2.26516,1.96018,2.31952,9.30624e-05,9.30624e-05,9.30624e-05
90,975.734,1.66632,1.82577,1.72571,0.29847,0.54788,0.5244,0.17023,2.28814,1.92872,2.33056,9.15972e-05,9.15972e-05,9.15972e-05
91,986.509,1.73774,1.86287,1.77059,0.39226,0.55333,0.49872,0.18239,2.30539,1.96754,2.34433,9.0132e-05,9.0132e-05,9.0132e-05
92,997.029,1.71939,1.82011,1.73333,0.32293,0.60915,0.51561,0.16224,2.29222,2.06641,2.37305,8.86668e-05,8.86668e-05,8.86668e-05
93,1007.91,1.73048,1.82801,1.77287,0.39825,0.56994,0.49093,0.16503,2.30982,2.0135,2.37294,8.72016e-05,8.72016e-05,8.72016e-05
94,1018.51,1.75119,1.84629,1.77558,0.41174,0.60495,0.48625,0.17381,2.29395,2.00017,2.33436,8.57364e-05,8.57364e-05,8.57364e-05
95,1029.32,1.71563,1.80629,1.73807,0.37691,0.56121,0.46263,0.18627,2.2991,1.99702,2.34834,8.42712e-05,8.42712e-05,8.42712e-05
