epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,415.326,1.89613,2.38211,1.90996,0.59864,0.25634,0.23283,0.08132,2.14735,2.29738,2.3201,0.000260396,0.000260396,0.000260396
43,425.046,1.84759,2.33716,1.91515,0.74848,0.26695,0.29666,0.10471,2.21454,2.23928,2.37133,0.00025804,0.00025804,0.00025804
44,434.742,1.86512,2.27049,1.92521,0.77886,0.2723,0.31862,0.11837,2.21205,2.14024,2.33418,0.000255683,0.000255683,0.000255683
45,444.656,1.8875,2.35847,1.93029,0.73623,0.27481,0.35571,0.11999,2.20877,2.19919,2.31705,0.000253327,0.000253327,0.000253327
46,454.255,1.82301,2.19285,1.8663,0.59159,0.42913,0.36193,0.1108,2.21629,2.20646,2.31094,0.000250971,0.000250971,0.000250971
47,464.286,1.89177,2.25848,1.90655,0.66115,0.39198,0.34588,0.10239,2.23042,2.22838,2.33226,0.000248615,0.000248615,0.000248615
48,474.074,1.86452,2.24572,1.88447,0.67242,0.31661,0.30792,0.09586,2.18577,2.23332,2.29726,0.000246259,0.000246259,0.000246259
49,483.83,1.80139,2.27359,1.8643,0.65453,0.34348,0.35342,0.11087,2.17216,2.24188,2.29074,0.000243902,0.000243902,0.000243902
50,493.609,1.78124,2.24492,1.86383,0.44437,0.37571,0.33774,0.0982,2.16456,2.31475,2.29717,0.000241546,0.000241546,0.000241546
51,503.443,1.82256,2.21408,1.8968,0.63275,0.36144,0.33922,0.09892,2.18407,2.29905,2.29012,0.00023919,0.00023919,0.00023919
52,513.064,1.80915,2.21371,1.86775,0.60056,0.35421,0.31287,0.10497,2.18641,2.20893,2.30897,0.000236834,0.000236834,0.000236834
53,522.907,1.83675,2.25033,1.88327,0.5745,0.38352,0.31318,0.09594,2.18062,2.14594,2.29253,0.000234478,0.000234478,0.000234478
54,532.658,1.80718,2.22948,1.87811,0.64521,0.32082,0.31062,0.09586,2.25653,2.17532,2.37611,0.000232121,0.000232121,0.000232121
55,542.407,1.79298,2.19037,1.90002,0.65774,0.36815,0.33781,0.11459,2.20423,2.20033,2.31697,0.000229765,0.000229765,0.000229765
