epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8075,2.53322,5.31992,2.41827,0,0,0,0,2.4483,4.48914,2.53295,5.328e-05,5.328e-05,5.328e-05
2,21.1938,2.41543,5.09918,2.38611,0,0,0,0,2.28925,4.51558,2.40063,0.000108062,0.000108062,0.000108062
3,31.6334,2.27924,4.26742,2.28696,0.07875,0.43443,0.14592,0.04744,2.27624,3.75518,2.39279,0.000162112,0.000162112,0.000162112
4,41.864,2.33343,3.60407,2.4065,0.26399,0.20492,0.15427,0.05001,2.34856,2.89831,2.57442,0.000215428,0.000215428,0.000215428
5,52.4467,2.2744,3.3093,2.3728,0.23176,0.22951,0.13936,0.05032,2.39561,5.66238,2.65827,0.000216139,0.000216139,0.000216139
6,62.7287,2.19964,3.30126,2.28037,0.22968,0.2623,0.15359,0.04046,2.2952,3.41527,2.6075,0.000214674,0.000214674,0.000214674
7,73.0128,2.2066,3.17632,2.36195,0.1764,0.38525,0.16844,0.05512,2.33879,3.53472,2.64693,0.000213209,0.000213209,0.000213209
8,83.3173,2.15358,3.06535,2.30853,0.24801,0.34874,0.20194,0.06269,2.29177,2.80203,2.5422,0.000211744,0.000211744,0.000211744
9,93.6872,2.17396,3.07009,2.27744,0.2675,0.29508,0.2045,0.06893,2.23837,2.54844,2.52816,0.000210278,0.000210278,0.000210278
10,103.89,2.11658,3.02414,2.28201,0.31285,0.2377,0.19874,0.05548,2.34263,2.53355,2.61005,0.000208813,0.000208813,0.000208813
11,114.287,2.16453,2.94488,2.31963,0.44648,0.35246,0.32476,0.08912,2.27772,2.28497,2.47071,0.000207348,0.000207348,0.000207348
12,124.697,2.09959,2.862,2.24648,0.52607,0.30027,0.30601,0.0971,2.24159,2.4221,2.37632,0.000205883,0.000205883,0.000205883
13,135.102,2.10729,2.86022,2.17622,0.28022,0.37705,0.23931,0.07312,2.26421,2.32518,2.39199,0.000204418,0.000204418,0.000204418
14,145.878,2.1009,2.87721,2.2075,0.2971,0.34426,0.24306,0.08941,2.16972,2.34873,2.38961,0.000202952,0.000202952,0.000202952
15,156.379,2.01668,2.79356,2.13269,0.45989,0.33607,0.31971,0.09959,2.20481,2.32256,2.44369,0.000201487,0.000201487,0.000201487
16,167.329,2.07081,2.78276,2.1692,0.38954,0.30861,0.29167,0.09719,2.18035,2.39496,2.41,0.000200022,0.000200022,0.000200022
17,177.858,2.04934,2.69988,2.15103,0.59805,0.32787,0.36344,0.12078,2.17699,2.32502,2.42172,0.000198557,0.000198557,0.000198557
18,188.442,2.02099,2.66804,2.1522,0.38856,0.40984,0.31562,0.10037,2.23242,2.24987,2.47468,0.000197092,0.000197092,0.000197092
19,199.024,1.9715,2.59126,2.08168,0.44381,0.41803,0.35407,0.10803,2.18571,2.24516,2.37035,0.000195626,0.000195626,0.000195626
20,209.646,2.01961,2.6489,2.12263,0.40886,0.31148,0.30555,0.08909,2.21698,2.30054,2.45983,0.000194161,0.000194161,0.000194161
21,220.217,1.98875,2.6204,2.1207,0.44496,0.33514,0.30321,0.10939,2.16223,2.29199,2.48387,0.000192696,0.000192696,0.000192696
22,230.623,1.92544,2.61769,2.06795,0.52165,0.40164,0.38459,0.12372,2.16414,2.20079,2.36253,0.000191231,0.000191231,0.000191231
23,241.229,1.98765,2.60375,2.07198,0.5172,0.39515,0.36731,0.11942,2.16481,2.13317,2.2942,0.000189766,0.000189766,0.000189766
24,251.884,1.95809,2.52077,2.03688,0.46277,0.40984,0.35684,0.10377,2.2078,2.29886,2.38905,0.0001883,0.0001883,0.0001883
25,262.471,2.02133,2.5581,2.08673,0.40393,0.45082,0.32826,0.11492,2.16894,2.33694,2.31952,0.000186835,0.000186835,0.000186835
26,273.045,1.92302,2.45366,1.99962,0.48056,0.42467,0.33416,0.10942,2.13883,2.1993,2.28564,0.00018537,0.00018537,0.00018537
27,283.748,1.96271,2.53355,2.03513,0.45202,0.38525,0.35274,0.09978,2.2062,2.23024,2.37996,0.000183905,0.000183905,0.000183905
28,294.446,1.95949,2.45614,2.04539,0.51269,0.43443,0.38178,0.1192,2.20036,2.15903,2.32056,0.00018244,0.00018244,0.00018244
29,304.692,1.95836,2.45809,2.01721,0.53497,0.31967,0.34526,0.1085,2.15672,2.26683,2.29265,0.000180974,0.000180974,0.000180974
30,314.839,1.92625,2.37781,1.9775,0.41,0.35315,0.30215,0.09582,2.21608,2.27516,2.3139,0.000179509,0.000179509,0.000179509
31,325.342,1.91008,2.39245,1.99786,0.6348,0.41803,0.46608,0.13852,2.20417,2.098,2.34308,0.000178044,0.000178044,0.000178044
32,335.658,1.94692,2.41807,1.97839,0.63257,0.41803,0.47499,0.1477,2.1811,2.06204,2.33701,0.000176579,0.000176579,0.000176579
33,346.329,1.89916,2.39815,1.99049,0.60253,0.39344,0.41319,0.13534,2.17545,2.14685,2.35154,0.000175114,0.000175114,0.000175114
34,357.054,1.94868,2.34275,2.01257,0.56689,0.4077,0.37906,0.13051,2.16137,2.21437,2.28667,0.000173648,0.000173648,0.000173648
35,368.003,1.91101,2.31148,1.98904,0.51392,0.45932,0.37474,0.11679,2.19494,2.23756,2.31054,0.000172183,0.000172183,0.000172183
36,378.528,1.91892,2.38948,1.98166,0.46302,0.36066,0.33278,0.10965,2.2421,2.1778,2.42522,0.000170718,0.000170718,0.000170718
37,389.189,1.88915,2.2884,1.98069,0.50446,0.38525,0.35378,0.12184,2.26099,2.18378,2.42567,0.000169253,0.000169253,0.000169253
38,399.734,1.83731,2.2386,1.89876,0.48599,0.40984,0.40273,0.11974,2.25056,2.15291,2.32983,0.000167788,0.000167788,0.000167788
39,410.18,1.87633,2.24806,1.89359,0.53067,0.38525,0.36238,0.10865,2.26331,2.21198,2.35451,0.000166322,0.000166322,0.000166322
40,420.995,1.87595,2.24028,1.91571,0.56422,0.41803,0.37926,0.0984,2.26407,2.20044,2.41348,0.000164857,0.000164857,0.000164857
41,431.594,1.81626,2.18806,1.87212,0.47937,0.45082,0.39868,0.10913,2.25432,2.19665,2.34696,0.000163392,0.000163392,0.000163392
42,442.42,1.88864,2.2272,1.89906,0.55779,0.41359,0.39573,0.11365,2.23196,2.18484,2.33794,0.000161927,0.000161927,0.000161927
43,453.007,1.85682,2.20808,1.90746,0.5728,0.43963,0.42644,0.13366,2.21853,2.12718,2.32075,0.000160462,0.000160462,0.000160462
44,463.56,1.87505,2.15487,1.92549,0.51981,0.41803,0.4029,0.12211,2.22383,2.13671,2.27864,0.000158996,0.000158996,0.000158996
45,474.338,1.88718,2.23961,1.92631,0.54744,0.44262,0.45274,0.12522,2.22484,2.13438,2.27758,0.000157531,0.000157531,0.000157531
46,484.773,1.81515,2.08023,1.86433,0.55109,0.44262,0.40363,0.11329,2.25207,2.16475,2.32714,0.000156066,0.000156066,0.000156066
47,495.692,1.90553,2.13932,1.90469,0.46767,0.46808,0.4111,0.11404,2.25585,2.12907,2.30396,0.000154601,0.000154601,0.000154601
48,506.367,1.87203,2.1207,1.88923,0.53501,0.42623,0.39862,0.11912,2.252,2.15939,2.34052,0.000153136,0.000153136,0.000153136
49,516.911,1.8364,2.09304,1.89066,0.49777,0.40164,0.36998,0.10602,2.29069,2.17213,2.40891,0.00015167,0.00015167,0.00015167
50,527.626,1.80499,2.11721,1.8823,0.51023,0.43443,0.42527,0.12528,2.24746,2.11967,2.30799,0.000150205,0.000150205,0.000150205
51,538.426,1.83773,2.09819,1.88051,0.53515,0.45902,0.38164,0.11552,2.22715,2.12767,2.31364,0.00014874,0.00014874,0.00014874
52,549.148,1.79692,2.08218,1.86242,0.55372,0.47541,0.42637,0.13067,2.19294,2.05327,2.24634,0.000147275,0.000147275,0.000147275
53,559.779,1.86599,2.11406,1.88072,0.49528,0.47541,0.42721,0.12547,2.17148,2.05872,2.23471,0.00014581,0.00014581,0.00014581
54,570.504,1.81154,2.09182,1.87775,0.51308,0.45082,0.44586,0.13066,2.20915,2.086,2.25499,0.000144344,0.000144344,0.000144344
55,581.088,1.82115,2.03877,1.87411,0.52755,0.45902,0.41656,0.13014,2.24985,2.10964,2.23676,0.000142879,0.000142879,0.000142879
56,591.743,1.85437,2.03791,1.87284,0.55837,0.42623,0.42413,0.12306,2.19924,2.09595,2.22915,0.000141414,0.000141414,0.000141414
57,602.795,1.79533,1.98529,1.86565,0.45236,0.45082,0.40262,0.13167,2.2503,2.08724,2.28209,0.000139949,0.000139949,0.000139949
58,613.645,1.76944,2.03699,1.81911,0.50473,0.52459,0.45343,0.12761,2.25488,2.0353,2.25857,0.000138484,0.000138484,0.000138484
59,624.641,1.81819,2.05058,1.84315,0.57506,0.46721,0.43934,0.13501,2.2726,2.03277,2.31741,0.000137018,0.000137018,0.000137018
60,635.388,1.7626,1.98499,1.81891,0.58776,0.42623,0.40667,0.11749,2.30911,2.10113,2.37839,0.000135553,0.000135553,0.000135553
61,646.03,1.76958,2.00086,1.81991,0.54699,0.49488,0.4353,0.12603,2.26234,2.06113,2.30634,0.000134088,0.000134088,0.000134088
62,656.666,1.76492,1.94508,1.80055,0.60978,0.52459,0.50142,0.14376,2.21398,1.96538,2.22553,0.000132623,0.000132623,0.000132623
63,667.436,1.75491,1.94161,1.81539,0.64287,0.44265,0.44728,0.12677,2.24241,2.0296,2.28324,0.000131158,0.000131158,0.000131158
64,678.306,1.7826,1.9841,1.81183,0.56255,0.42165,0.38155,0.11512,2.28401,2.0787,2.31432,0.000129692,0.000129692,0.000129692
