epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1512,1.83189,2.74125,1.71825,0.45003,0.46206,0.45623,0.17495,1.83918,2.17974,1.72024,0.000330623,0.000330623,0.000330623
2,117.141,1.75848,2.12353,1.67841,0.51887,0.61792,0.523,0.22583,1.79578,1.99652,1.70208,0.000659575,0.000659575,0.000659575
3,179.721,1.77436,2.03358,1.67252,0.46754,0.52373,0.47112,0.2039,1.87657,2.22379,1.79374,0.000984126,0.000984126,0.000984126
4,238.19,1.77725,1.9515,1.67888,0.42677,0.55997,0.42652,0.18169,1.83568,1.96462,1.71452,0.0009802,0.0009802,0.0009802
5,285.444,1.72959,1.85406,1.64453,0.54812,0.64283,0.58448,0.25996,1.77016,1.63979,1.70447,0.0009736,0.0009736,0.0009736
6,348.976,1.71653,1.7739,1.62889,0.60835,0.63572,0.62284,0.28574,1.75104,1.61646,1.66281,0.000967,0.000967,0.000967
7,411.995,1.69545,1.69169,1.60598,0.61939,0.6129,0.59577,0.26183,1.76781,1.62302,1.67406,0.0009604,0.0009604,0.0009604
8,475.118,1.68623,1.685,1.60652,0.61736,0.66847,0.62401,0.29571,1.67731,1.46058,1.59852,0.0009538,0.0009538,0.0009538
9,539.04,1.67701,1.64447,1.58888,0.67825,0.65672,0.67783,0.31002,1.70507,1.46939,1.60871,0.0009472,0.0009472,0.0009472
10,603.719,1.65837,1.61727,1.58925,0.64447,0.67785,0.67453,0.30639,1.77658,1.50213,1.64551,0.0009406,0.0009406,0.0009406
11,667.902,1.66334,1.59953,1.58935,0.6921,0.6584,0.68172,0.3056,1.81126,1.3734,1.67878,0.000934,0.000934,0.000934
12,738.398,1.65106,1.55963,1.57458,0.63573,0.71318,0.69797,0.33861,1.67517,1.47127,1.60052,0.0009274,0.0009274,0.0009274
13,806.203,1.65196,1.56147,1.57589,0.71902,0.67741,0.71375,0.31541,1.82042,1.28148,1.65747,0.0009208,0.0009208,0.0009208
14,869.381,1.64526,1.53777,1.5712,0.69793,0.69043,0.72387,0.35286,1.64643,1.28024,1.56111,0.0009142,0.0009142,0.0009142
15,931.164,1.61449,1.50318,1.53655,0.71371,0.73096,0.73236,0.34481,1.72686,1.26642,1.59196,0.0009076,0.0009076,0.0009076
