epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1343,2.49394,5.12405,2.37313,0,0,0,0,2.40257,4.24931,2.52267,8.568e-05,8.568e-05,8.568e-05
2,33.639,2.29032,4.7287,2.32118,0.03067,0.04545,0.0246,0.01004,2.21422,4.18927,2.3515,0.000173775,0.000173775,0.000173775
3,49.606,2.25927,3.85707,2.3688,0.43959,0.04727,0.02249,0.00687,2.34696,4.53587,2.59146,0.000260693,0.000260693,0.000260693
4,65.0399,2.25736,3.57612,2.37138,0.46535,0.04727,0.03417,0.01019,2.41334,2.91163,2.54675,0.000346432,0.000346432,0.000346432
5,76.1746,2.25703,3.47727,2.34277,0.65362,0.05818,0.035,0.00957,2.42164,3.16926,2.46208,0.000347575,0.000347575,0.000347575
6,88.0276,2.22204,3.34855,2.27839,0.63871,0.05636,0.03405,0.00987,2.36396,4.59319,2.5687,0.000345219,0.000345219,0.000345219
7,103.671,2.17277,3.27489,2.29079,0.64386,0.04545,0.0274,0.00727,2.27099,3.62575,2.56557,0.000342863,0.000342863,0.000342863
8,119.039,2.11552,3.13146,2.24914,0.6391,0.04197,0.03623,0.01133,2.37433,3.07491,2.5813,0.000340507,0.000340507,0.000340507
9,134.511,2.13802,3.10547,2.22455,0.64241,0.05273,0.04557,0.01299,2.34756,2.73649,2.52084,0.00033815,0.00033815,0.00033815
10,150.044,2.07689,3.00519,2.16581,0.6619,0.05455,0.05363,0.01577,2.29496,2.67296,2.48487,0.000335794,0.000335794,0.000335794
11,165.739,2.04533,3.04585,2.20367,0.65668,0.06545,0.04606,0.01492,2.25891,2.73581,2.53611,0.000333438,0.000333438,0.000333438
12,181.493,2.04344,2.98023,2.18655,0.67476,0.06364,0.06518,0.01908,2.30063,2.71399,2.59654,0.000331082,0.000331082,0.000331082
13,197.21,2.06567,2.91976,2.19792,0.65987,0.06,0.06032,0.01744,2.21303,2.59945,2.51699,0.000328726,0.000328726,0.000328726
14,212.454,2.07036,2.92152,2.20341,0.64083,0.04909,0.031,0.00854,2.26042,2.83454,2.51031,0.000326369,0.000326369,0.000326369
15,228.478,2.02092,2.86996,2.11687,0.67442,0.05091,0.05567,0.01749,2.19616,2.59703,2.4592,0.000324013,0.000324013,0.000324013
16,244.942,2.05143,2.80792,2.1738,0.47992,0.06,0.07921,0.03639,2.16263,2.57761,2.38196,0.000321657,0.000321657,0.000321657
17,260.584,2.04143,2.7335,2.10904,0.49889,0.06364,0.1087,0.03874,2.22462,2.46316,2.37001,0.000319301,0.000319301,0.000319301
18,276.445,2.04347,2.80615,2.13988,0.69076,0.06495,0.10141,0.04431,2.19022,2.49873,2.37443,0.000316945,0.000316945,0.000316945
19,292.321,1.95604,2.72911,2.0953,0.43361,0.09636,0.16525,0.06373,2.18843,2.47557,2.39933,0.000314588,0.000314588,0.000314588
20,308.023,2.00714,2.69886,2.11802,0.34728,0.1253,0.0983,0.03977,2.19606,2.59101,2.35742,0.000312232,0.000312232,0.000312232
21,318.748,1.99807,2.64812,2.07238,0.34391,0.18516,0.17917,0.07277,2.17764,2.43576,2.3861,0.000309876,0.000309876,0.000309876
22,328.928,1.94801,2.64613,2.07301,0.06263,0.15576,0.13811,0.04907,2.21686,2.55645,2.44528,0.00030752,0.00030752,0.00030752
23,339.112,1.97281,2.59003,2.1155,0.08415,0.16303,0.10769,0.0396,2.19012,2.51576,2.50496,0.000305164,0.000305164,0.000305164
24,349.454,1.93368,2.59968,2.07467,0.35049,0.11394,0.13462,0.05061,2.26896,2.45602,2.47795,0.000302807,0.000302807,0.000302807
25,359.448,1.91957,2.48095,2.03669,0.36992,0.10848,0.11941,0.04604,2.30313,2.45695,2.48681,0.000300451,0.000300451,0.000300451
26,369.47,1.97012,2.50246,2.06985,0.27245,0.21087,0.16886,0.04786,2.3021,2.57351,2.47049,0.000298095,0.000298095,0.000298095
27,379.64,1.94166,2.5523,2.04439,0.43812,0.16277,0.15608,0.06169,2.25293,2.39239,2.45809,0.000295739,0.000295739,0.000295739
28,389.697,1.88856,2.44598,1.99589,0.14486,0.18121,0.15313,0.04634,2.19969,2.39849,2.34909,0.000293383,0.000293383,0.000293383
29,399.591,1.93454,2.47124,2.04608,0.40739,0.29818,0.23955,0.06779,2.18328,2.37606,2.35984,0.000291026,0.000291026,0.000291026
30,409.121,1.91767,2.37763,2.01723,0.21216,0.3956,0.26976,0.11388,2.13928,2.22694,2.30141,0.00028867,0.00028867,0.00028867
31,419.337,1.93203,2.46269,2.02744,0.47688,0.27321,0.24002,0.10149,2.11736,2.55608,2.36342,0.000286314,0.000286314,0.000286314
32,429.074,1.91151,2.3898,1.98846,0.15732,0.22061,0.15594,0.04709,2.16088,2.40149,2.31846,0.000283958,0.000283958,0.000283958
33,438.98,1.89805,2.38133,2.00397,0.24466,0.20061,0.20411,0.06851,2.22446,2.34702,2.47233,0.000281602,0.000281602,0.000281602
34,449.082,1.91571,2.37742,2.04276,0.28035,0.18,0.20656,0.07118,2.24922,2.29603,2.46552,0.000279245,0.000279245,0.000279245
35,459.468,1.91465,2.3604,2.01861,0.21312,0.29713,0.22534,0.08114,2.26458,2.31394,2.44567,0.000276889,0.000276889,0.000276889
36,469.505,1.87275,2.37502,1.9716,0.25745,0.34303,0.24328,0.10261,2.24986,2.29966,2.43201,0.000274533,0.000274533,0.000274533
