epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9238,2.11777,3.5821,1.59239,0.00734,0.82164,0.37102,0.15731,1.68902,3.4116,1.26521,0.000324324,0.000324324,0.000324324
2,26.7562,1.87488,2.37605,1.42727,0.64154,0.50478,0.57704,0.24595,1.75837,2.48358,1.3241,0.000653317,0.000653317,0.000653317
3,45.0767,1.79992,2.19691,1.38301,0.58181,0.62288,0.59559,0.2716,1.77714,1.97648,1.38477,0.00097791,0.00097791,0.00097791
4,65.294,1.82715,2.02863,1.40068,0.55191,0.60137,0.55909,0.23991,1.84809,1.70756,1.47854,0.0009802,0.0009802,0.0009802
5,80.6997,1.81185,1.98294,1.41623,0.58481,0.70678,0.64973,0.30949,1.7288,1.45031,1.34265,0.0009736,0.0009736,0.0009736
6,93.541,1.79114,1.82003,1.37162,0.64425,0.65541,0.65296,0.30964,1.7716,1.25114,1.36895,0.000967,0.000967,0.000967
7,106.128,1.7424,1.74698,1.37058,0.59408,0.67847,0.64092,0.31185,1.74218,1.27585,1.35873,0.0009604,0.0009604,0.0009604
8,119.159,1.77417,1.67516,1.38477,0.68713,0.6066,0.64245,0.27711,1.90042,1.39305,1.4633,0.0009538,0.0009538,0.0009538
9,132.046,1.7348,1.59362,1.35196,0.64601,0.67835,0.71236,0.3658,1.64682,1.35103,1.29814,0.0009472,0.0009472,0.0009472
10,144.453,1.74622,1.55269,1.33574,0.67122,0.73966,0.73871,0.37646,1.64512,1.30978,1.31073,0.0009406,0.0009406,0.0009406
11,157.368,1.7277,1.5727,1.32989,0.59352,0.75412,0.70558,0.32771,1.74951,1.16132,1.35609,0.000934,0.000934,0.000934
12,169.859,1.71868,1.4931,1.32019,0.64297,0.72016,0.68614,0.32844,1.74717,1.1252,1.34936,0.0009274,0.0009274,0.0009274
13,182.951,1.72616,1.49454,1.33089,0.73288,0.80666,0.74532,0.36518,1.68364,1.05777,1.32321,0.0009208,0.0009208,0.0009208
14,195.51,1.69983,1.42374,1.32501,0.67081,0.71229,0.70396,0.37535,1.66125,1.04971,1.31257,0.0009142,0.0009142,0.0009142
