epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.54654,2.64877,5.71848,1.91174,0,0,0,0,2.52508,5.21669,1.27478,0,0,0
2,11.2288,2.53702,5.70067,1.69736,0,0,0,0,2.48698,5.2199,1.25728,2.80337e-06,2.80337e-06,2.80337e-06
3,14.3008,2.50699,5.86402,1.90492,0,0,0,0,2.45341,5.22134,1.25263,5.49349e-06,5.49349e-06,5.49349e-06
4,16.9118,2.58752,5.59736,1.95365,0,0,0,0,2.50302,5.20825,1.26463,8.07035e-06,8.07035e-06,8.07035e-06
5,19.5741,2.41522,5.7093,1.75845,0,0,0,0,2.60609,5.17375,1.28581,1.0534e-05,1.0534e-05,1.0534e-05
6,22.5598,2.61985,5.58079,1.93287,0,0,0,0,2.61897,5.16046,1.27405,1.28843e-05,1.28843e-05,1.28843e-05
7,25.1376,2.54328,5.6828,1.87291,0,0,0,0,2.58916,5.16344,1.25519,1.51214e-05,1.51214e-05,1.51214e-05
8,27.6464,2.56151,5.70139,1.84767,0,0,0,0,2.55866,5.16383,1.23759,1.72452e-05,1.72452e-05,1.72452e-05
9,29.9863,2.52274,5.68234,1.70075,0,0,0,0,2.52876,5.16152,1.22731,1.92558e-05,1.92558e-05,1.92558e-05
10,32.3414,2.53417,5.50299,1.81287,0,0,0,0,2.52183,5.16184,1.22832,2.11531e-05,2.11531e-05,2.11531e-05
11,34.8209,2.4418,5.60096,1.72006,0,0,0,0,2.52081,5.16236,1.23352,2.29372e-05,2.29372e-05,2.29372e-05
12,37.3082,2.27502,5.52548,1.56455,0,0,0,0,2.52648,5.1582,1.23781,2.4608e-05,2.4608e-05,2.4608e-05
13,39.6773,2.1899,5.52302,1.53135,0,0,0,0,2.53779,5.1547,1.24771,2.61656e-05,2.61656e-05,2.61656e-05
14,42.0278,2.35976,5.5736,1.69202,0,0,0,0,2.58231,5.1445,1.26117,2.76099e-05,2.76099e-05,2.76099e-05
15,46.0641,2.28623,5.51789,1.5391,0,0,0,0,2.58817,5.13842,1.27028,2.89409e-05,2.89409e-05,2.89409e-05
