epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3458,2.51315,5.33959,2.37098,0,0,0,0,2.51242,4.50231,2.54529,5.328e-05,5.328e-05,5.328e-05
2,21.7635,2.37101,5.08738,2.34124,0,0,0,0,2.34649,4.53323,2.40632,0.000108062,0.000108062,0.000108062
3,32.3728,2.2636,4.37862,2.25872,0.02018,0.11879,0.03556,0.01141,2.31818,3.85056,2.27651,0.000162112,0.000162112,0.000162112
4,48.8883,2.36682,3.75724,2.32802,0.84121,0.05091,0.02896,0.00956,2.37601,3.60963,2.40542,0.000215428,0.000215428,0.000215428
5,59.7543,2.29289,3.58124,2.32662,0.64432,0.04182,0.03353,0.01248,2.30863,3.23332,2.54718,0.000216139,0.000216139,0.000216139
